time_s,tau_cmd_0,tau_cmd_1,tau_cmd_2,tau_cmd_3,tau_cmd_4,tau_cmd_5,tau_cmd_6,tau_ext_0,tau_ext_1,tau_ext_2,tau_ext_3,tau_ext_4,tau_ext_5,tau_ext_6,q_state_0,q_state_1,q_state_2,q_state_3,q_state_4,q_state_5,q_state_6,dq_state_0,dq_state_1,dq_state_2,dq_state_3,dq_state_4,dq_state_5,dq_state_6
0.020981,-0.067075,0.387573,0.022220,-0.005448,0.058491,0.028399,-0.005831,-0.028982,-0.790051,0.176474,0.079061,0.254517,-0.114774,0.092576,0.001859,-0.783220,-0.001080,-2.355925,-0.003710,1.576281,0.774438,-0.000280,0.006371,-0.000929,-0.000731,-0.000822,0.000877,-0.000234
0.022081,-0.068981,0.388109,0.026198,-0.006618,0.057735,0.030025,-0.005018,-0.027235,-0.796514,0.177636,0.082061,0.253975,-0.114314,0.092202,0.001861,-0.783209,-0.001079,-2.355923,-0.003709,1.576283,0.774440,0.000507,0.007705,0.000018,-0.000035,-0.000038,0.000899,0.000823
0.023038,-0.072370,0.386462,0.025572,-0.006215,0.056972,0.031335,-0.005639,-0.025345,-0.801386,0.178901,0.084505,0.253450,-0.113863,0.091809,0.001859,-0.783201,-0.001081,-2.355919,-0.003709,1.576279,0.774435,-0.000292,0.007930,-0.000949,0.001233,-0.000209,0.000610,-0.001272
0.023982,-0.075501,0.389671,0.028174,-0.005654,0.056067,0.032639,-0.005740,-0.023374,-0.804671,0.180162,0.085837,0.252933,-0.113487,0.091418,0.001859,-0.783189,-0.001077,-2.355917,-0.003709,1.576279,0.774437,-0.000120,0.009157,0.000226,0.000922,-0.000245,0.000444,-0.000409
0.024999,-0.077647,0.391838,0.028672,-0.005894,0.054713,0.033537,-0.006808,-0.021567,-0.806267,0.180972,0.086419,0.252412,-0.113089,0.091059,0.001859,-0.783184,-0.001078,-2.355918,-0.003709,1.576280,0.774436,-0.000066,0.007983,-0.000205,0.000554,-0.000126,0.000265,-0.000610
0.026081,-0.082575,0.395293,0.030462,-0.004995,0.054505,0.035606,-0.006100,-0.020118,-0.804397,0.181034,0.085882,0.251862,-0.112621,0.090753,0.001857,-0.783177,-0.001078,-2.355917,-0.003708,1.576283,0.774440,-0.000605,0.007377,0.000495,0.000930,0.000367,0.000562,0.001102
0.027061,-0.084362,0.393847,0.033221,-0.006709,0.053295,0.035271,-0.006779,-0.019107,-0.797001,0.180238,0.083427,0.251252,-0.112107,0.090494,0.001859,-0.783173,-0.001080,-2.355918,-0.003710,1.576281,0.774436,0.000120,0.006197,0.000620,0.000230,-0.000318,-0.000208,-0.000785
0.028005,-0.090251,0.396191,0.033005,-0.002894,0.051797,0.037376,-0.007241,-0.018485,-0.784129,0.178786,0.078839,0.250578,-0.111594,0.090264,0.001857,-0.783162,-0.001081,-2.355912,-0.003709,1.576282,0.774437,-0.000548,0.007354,0.000150,0.001994,0.000076,0.001313,0.000185
0.029070,-0.091747,0.394068,0.036832,-0.003807,0.050749,0.037252,-0.006669,-0.018274,-0.768030,0.176805,0.073318,0.249867,-0.111017,0.090062,0.001861,-0.783157,-0.001077,-2.355920,-0.003709,1.576282,0.774439,0.000863,0.006622,0.001100,-0.001532,0.000782,0.000310,0.000702
0.030057,-0.096880,0.397070,0.039375,-0.004238,0.050086,0.038608,-0.008078,-0.018673,-0.751764,0.174078,0.069265,0.249154,-0.110162,0.089885,0.001859,-0.783146,-0.001081,-2.355917,-0.003707,1.576284,0.774435,-0.000094,0.008169,0.000194,-0.000446,0.000919,0.001721,-0.000893
0.031038,-0.098161,0.397072,0.037164,-0.004985,0.049861,0.041545,-0.007277,-0.019217,-0.736115,0.171481,0.066551,0.248482,-0.109109,0.089732,0.001861,-0.783142,-0.001081,-2.355916,-0.003709,1.576283,0.774441,0.000888,0.007135,-0.000153,0.000104,0.000769,0.001533,0.001526
0.032020,-0.102722,0.400022,0.042614,-0.004245,0.048605,0.043098,-0.008135,-0.019846,-0.719520,0.169006,0.063204,0.247791,-0.108076,0.089595,0.001859,-0.783132,-0.001076,-2.355912,-0.003709,1.576279,0.774437,-0.000034,0.007571,0.001817,0.000925,0.000171,-0.000225,-0.000516
0.033065,-0.104354,0.401260,0.047933,-0.004990,0.046513,0.042675,-0.007647,-0.020770,-0.700989,0.166067,0.058560,0.247037,-0.107075,0.089454,0.001861,-0.783128,-0.001079,-2.355913,-0.003706,1.576280,0.774441,0.000666,0.006567,0.000010,0.000362,0.000594,-0.000600,0.000807
0.034073,-0.108028,0.401735,0.044945,-0.002339,0.048027,0.043225,-0.008417,-0.021053,-0.680089,0.164438,0.052377,0.246335,-0.106119,0.089296,0.001859,-0.783122,-0.001083,-2.355911,-0.003702,1.576283,0.774437,-0.000180,0.006468,-0.001635,0.001248,0.001775,0.001073,-0.000619
0.035087,-0.112679,0.400053,0.049420,-0.003207,0.047370,0.045194,-0.008423,-0.020247,-0.657760,0.164880,0.045375,0.245734,-0.105191,0.089116,0.001859,-0.783115,-0.001078,-2.355915,-0.003706,1.576286,0.774440,0.000055,0.006703,0.000764,-0.001159,-0.000569,0.001701,0.000513
0.036036,-0.112738,0.400967,0.049497,-0.003164,0.046954,0.046311,-0.008663,-0.019237,-0.636973,0.165651,0.039661,0.245143,-0.104149,0.088909,0.001861,-0.783105,-0.001081,-2.355912,-0.003707,1.576284,0.774440,0.000737,0.007998,-0.000528,-0.000175,-0.000731,0.000942,0.000083
0.037038,-0.116501,0.402303,0.051581,-0.003331,0.045605,0.047792,-0.009233,-0.018242,-0.619325,0.166294,0.035712,0.244549,-0.102993,0.088670,0.001857,-0.783097,-0.001080,-2.355911,-0.003708,1.576283,0.774440,-0.000727,0.007955,0.000311,-0.000082,-0.001102,0.000969,0.000171
0.038047,-0.121938,0.400858,0.054882,-0.002075,0.044293,0.048559,-0.008896,-0.016931,-0.603852,0.167107,0.032362,0.243973,-0.101835,0.088386,0.001857,-0.783091,-0.001080,-2.355911,-0.003706,1.576286,0.774442,-0.000433,0.007763,0.000187,0.000250,-0.000597,0.000665,0.000891
0.039040,-0.123352,0.401686,0.052277,-0.001920,0.042030,0.049675,-0.008821,-0.015529,-0.590267,0.167894,0.029525,0.243398,-0.100674,0.088050,0.001861,-0.783079,-0.001081,-2.355912,-0.003708,1.576287,0.774440,0.000635,0.008918,-0.000515,-0.000817,-0.000113,0.001105,-0.000218
0.040039,-0.129341,0.401548,0.059214,-0.002183,0.043797,0.051025,-0.009322,-0.014646,-0.579678,0.167878,0.028096,0.242767,-0.099439,0.087653,0.001859,-0.783071,-0.001076,-2.355914,-0.003705,1.576288,0.774436,-0.000241,0.008937,0.001667,-0.000761,0.001301,0.001162,-0.000761
0.041100,-0.128358,0.400632,0.060876,-0.002497,0.043439,0.051113,-0.009987,-0.014480,-0.571929,0.166732,0.027916,0.242058,-0.098159,0.087207,0.001863,-0.783060,-0.001081,-2.355914,-0.003712,1.576288,0.774438,0.001132,0.009438,-0.000857,-0.000317,-0.001271,0.001003,-0.000173
0.042018,-0.134642,0.400376,0.060279,-0.001640,0.041573,0.052612,-0.010137,-0.013993,-0.566378,0.166307,0.028085,0.241413,-0.096946,0.086740,0.001857,-0.783047,-0.001081,-2.355914,-0.003713,1.576290,0.774440,-0.001028,0.010329,-0.000678,0.000180,-0.001768,0.002185,0.000706
0.043003,-0.136221,0.403145,0.062606,-0.000752,0.041000,0.053099,-0.010944,-0.012815,-0.563340,0.167046,0.028582,0.240897,-0.095814,0.086269,0.001861,-0.783036,-0.001080,-2.355914,-0.003709,1.576291,0.774440,0.000639,0.010820,0.000458,-0.000534,-0.000689,0.001764,0.000611
0.044009,-0.138447,0.403124,0.062249,-0.000791,0.039336,0.055083,-0.009915,-0.011894,-0.562322,0.167302,0.029806,0.240400,-0.094660,0.085790,0.001859,-0.783027,-0.001080,-2.355916,-0.003709,1.576292,0.774444,-0.000148,0.009862,0.000192,-0.001213,-0.000955,0.002455,0.001811
0.044997,-0.144840,0.404960,0.067421,-0.001559,0.038967,0.055695,-0.011199,-0.011476,-0.561763,0.166560,0.031503,0.239885,-0.093437,0.085286,0.001857,-0.783017,-0.001076,-2.355918,-0.003707,1.576291,0.774436,-0.000621,0.010324,0.001268,-0.000963,-0.000139,0.001667,-0.000673
0.046014,-0.146907,0.402446,0.070075,-0.002089,0.038193,0.057931,-0.010746,-0.011377,-0.560290,0.165177,0.032650,0.239344,-0.092237,0.084745,0.001861,-0.783008,-0.001080,-2.355916,-0.003708,1.576292,0.774442,0.000977,0.009824,-0.000385,-0.000061,-0.000601,0.002238,0.001505
0.047012,-0.147501,0.401364,0.069997,-0.000818,0.036747,0.059620,-0.012171,-0.011315,-0.557667,0.164144,0.032415,0.238794,-0.091183,0.084176,0.001860,-0.782991,-0.001081,-2.355916,-0.003708,1.576291,0.774435,0.000364,0.011465,-0.000737,0.000631,-0.000673,0.001210,0.000164
0.048003,-0.152250,0.403475,0.075213,-0.001873,0.036364,0.060379,-0.011084,-0.010806,-0.556005,0.164101,0.031866,0.238315,-0.090218,0.083593,0.001857,-0.782976,-0.001080,-2.355918,-0.003707,1.576291,0.774442,-0.000903,0.012368,0.000216,-0.000442,-0.000061,0.000718,0.002605
0.049214,-0.158703,0.401457,0.071978,-0.000912,0.034906,0.061166,-0.011618,-0.009598,-0.556280,0.165089,0.031947,0.237952,-0.089249,0.083003,0.001859,-0.782965,-0.001083,-2.355914,-0.003708,1.576293,0.774436,-0.000116,0.011706,-0.001454,0.000703,-0.000509,0.001137,-0.000011
0.050025,-0.159165,0.401607,0.072703,-0.000252,0.034264,0.061486,-0.010925,-0.008442,-0.557516,0.166113,0.032237,0.237594,-0.088302,0.082403,0.001863,-0.782949,-0.001078,-2.355915,-0.003706,1.576291,0.774438,0.001132,0.013217,0.001260,-0.000035,-0.000077,0.001812,0.000573
0.050992,-0.161013,0.402544,0.076754,-0.001661,0.032914,0.063707,-0.011845,-0.008683,-0.560403,0.164886,0.033414,0.237075,-0.087326,0.081789,0.001861,-0.782935,-0.001076,-2.355917,-0.003709,1.576293,0.774434,0.000062,0.013412,0.001599,-0.000515,-0.000079,0.002451,-0.001159
0.052030,-0.164501,0.400988,0.080856,-0.000721,0.032761,0.065666,-0.011803,-0.009883,-0.564502,0.161776,0.035324,0.236438,-0.086315,0.081171,0.001859,-0.782921,-0.001078,-2.355915,-0.003706,1.576290,0.774436,-0.000530,0.013306,0.000478,0.001033,0.000431,0.001382,0.000298
